filename,mode,ground_truth,llm_prediction,match
Floor-GDE_BAL_MET_30-7151537.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-Holzfassade_Hinterlüftet_Laibung-2906806.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-BBA_BL_15-Mieterausbau-11598222.json,Elements,Bodenbeläge,Bodenbeläge,1
Attikablech-Galerie-Südwest-Attikablech-Galerie-Südwest-6351305.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Fassade-Ecke-EG1-FAS_ECK_EG-12651885.json,Elements,Metallbaustoffe,"Fenster, Sonnenschutz, Fassadenplatten",0
Basic-Wall-Brandschutzplatte-28mm-1935406.json,Elements,"Mineralische Platten, Schüttungen, Steine und Ziegel","Mineralische Platten, Schüttungen, Steine und Ziegel",1
Basic-Wall-WAN_TWÄ_MW_125---EI30-11161798.json,Elements,Mauersteine,"Mineralische Platten, Schüttungen, Steine und Ziegel",0
hlks1-hlks-10122938.json,Elements,None,None,1
Basic-Wall-WAN_BRÜ_STB_160-dachrand-8113151.json,Elements,Beton,Beton,1
Bolt-M16-1248900.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Floor-3-Schichtplatte-40mm-5206093.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-STB-1560-3067474.json,Elements,Beton,Beton,1
Basic-Wall-DÄ_FUN_VER_100-12568941.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-OSB-25mm-5183063.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
TO---Brandschutztor-TOI_SIT_MET_ST---2300-x-2200-10306412.json,Elements,Türen,Türen,1
Railing-GEL_FÜL_BALK_GITR-11023613.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-Holzwerkstoffplatte-20mm-21680813.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-Purenit-Fusspunkt-6169888.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Assembled-Stair-Stair-1458173-Run-1.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-Panel-Holz-beidseitig-gelocht-mit-Dämmung-54mm-22849485.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Surface-2872326.json,Elements,None,None,1
Floor-Terrassenbelag-Holzlattung-Douglasie-7269453.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-WAN_ASW_LB_100-gel-5059296.json,Elements,Bodenbeläge,Beton,0
Beam-Planed-Timber-45x95-1091811.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
TU-DF-1---Pfostenstock-Falztüre-DL---900-x-2130-1118965.json,Elements,Türen,Türen,1
Systemelement-Glas-100---Versatz-25-5102516.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Rechteckiger-Pfosten-140-x-60---Holz-21414725.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Bleche-Fassade_V6-Bleche-Fassade_V6-4910201.json,Elements,Metallbaustoffe,"Fenster, Sonnenschutz, Fassadenplatten",0
Floor-AHD_DÄ_160-12312285.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Systemelement-PAN_GLAS_45---OG-11226128.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Stiffener-Stiffener-1094120.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Wall-Foundation-Bearing-Footing---900-x-300-186596.json,Elements,Beton,Beton,1
Basic-Wall-Brandschutzplatte-5251017.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-Massivholz-24mm-6301160.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-Floor_Linoleum_5mm-21756586-2.json,Elements,Bodenbeläge,Bodenbeläge,1
Basic-Wall-KVH-Balken-120mm-6158104.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
TU-DF-1---Pfostenstock-Falztüre-verglast-TUI_ZAR_MET_ML---1100-x-2375_E-30-7560858.json,Elements,Türen,Türen,1
1OG-I-1-2.json,Elements,Mörtel und Putze,Mörtel und Putze,1
TO---Brandschutztor-TOI_SIT_MET_ST---2180-x-2200-8609379.json,Elements,Türen,Türen,1
Floor-GDE_STB_200-6529254.json,Elements,Beton,Beton,1
Floor-AHD_DÄ_150-13817755.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
M_W-Wide-Flange-W310X60-W310X60-207325.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-3-Schichtplatte-27mm---Schalplatte-3555236.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Wall-Foundation-Concrete---Cast-in-Place---1200x300-1282521.json,Elements,Beton,Beton,1
Beam-Gluelam-90x225-1335823.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Precast-Stair-Stair-10092362-Landing-1.json,Elements,Beton,Beton,1
Geländer-Kern-6-OG2-GEL_TREP_6OG-14099961.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Sockel-gerade-PAN_BET_2-735---h5-13-11944128.json,Elements,Beton,Beton,1
Kemper-Wandtresor-TRES_350x350-15539713.json,Elements,Metallbaustoffe,Metallbaustoffe,1
M_Single-Glass-1-0813-x-2420mm-0813-x-2420mm-171853.json,Elements,Türen,Türen,1
Basic-Wall-BSP-140---5s-1686981.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-Fensterbank-40mm-7087153.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
BSH-Stütze---rechteckig-KVH-60-x-60-5755285.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Beam-HE-HEA120-2415251.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Shell_V12-Shell_V12-5294566.json,Elements,Beton,Beton,1
STB-Stütze---rechteckig-STZ_RTE_STB_450-x-450-2634854.json,Elements,Beton,Beton,1
Holz-Träger---rechteckig-Holz-60-x-160-22007091.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
TO---Falttor---1-x-3-Flügel-TOA_FLT_MET_4125-x-4200-8756847.json,Elements,Türen,Türen,1
Basic-Wall-BSP-140-Sichtseite-einseitig-1744018.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
IPE-Träger-Kammerbeton-TRA_IPE-KAB_STA_STB_400-8222212.json,Elements,Beton,Metallbaustoffe,0
Stair-Residential---200mm-Max-Riser-250mm-Tread-151086-1.json,Elements,None,Metallbaustoffe,0
Basic-Wall-FUN_STB_1500-3010518.json,Elements,Beton,Beton,1
Basic-Wall-WAT_ASW_STB_250-2826560.json,Elements,Beton,Beton,1
Screwed-Pin-M24-1238114.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Assembled-Stair-Stair-11892954-Run-1.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Floor-BBA_GIT_MET_30-11023640-10.json,Elements,Metallbaustoffe,Bodenbeläge,0
Basic-Wall-WAN_ASW_MW_145-10993756.json,Elements,Mauersteine,Mauersteine,1
Basic-Wall-Fensterlaibung-40mm-6514187.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-GEL_FÜL_OPK_BALK_100-11023610.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Roof-Live-Roof-over-Wood-Joist-Flat-Roof-184483.json,Elements,None,Holz und Holzwerkstoffe,0
Abdeckblech-gerundet-neu-Abdeckblech-gerundet-neu-6385866.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Floor-DCH_DÄ-AB_300-6785352.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Basic-Wall-WAN_DCK_DÄ_100-8137387.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-BBA_HBE_30-BG2-geschliffen-9576469.json,Elements,Beton,Beton,1
Vordach-1.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Fertigteil-TT-Platte---Ausklinkung-beidseitig---ohne-Fase---asymmetrisch-2750-x-680-3647246.json,Elements,Beton,Beton,1
Column-Planed-Wood-38x145-946122.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-WAN_TWÄ_MW_150-KS-10152070.json,Elements,Mauersteine,Mauersteine,1
HEB-Träger-TRA_HEB_STA_180-10123612.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Window-Opening-Circle-120-2373865.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Fire-Protection_Beam-3-sides-200x190-1171719.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
1OG-Balkon-1-1.json,Elements,Beton,Beton,1
Basic-Wall-Wärmedämmung_Slentex-70-687731.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
System-Panel-PAN_DÄM_ALU_50-11227867.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Floor-DÄ_FUN_HOR_100-12567832.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Systemelement-Contraflam-EI30-1753138.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Basic-Wall-WAN_ASW_VKL_10-12099875.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Stufen-Dach5-Stufen-Dach-13656116.json,Elements,Beton,Beton,1
Floor-Betonauflager-15cm-3980840.json,Elements,Beton,Beton,1
Basic-Wall-Brick--Existing---200-1441293.json,Elements,Mauersteine,Mauersteine,1
FE-Dachkuppel-rund-Ø-1200-13668242.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Rebar-Bar-12-B500C-T---Shape-A-2111867.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-WAN_ASW_DÄ_60-8977932.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Fertigteil-TT-Platte---Ausklinkung-beidseitig---ohne-Fase-TRA_RIP_STB_2750-x-480_ohne-gabel-2623718.json,Elements,Beton,Beton,1
1072_210525_TreppeInnenRevitExport_MK-1072_210525_TreppeInnenRevitExport_MK-7935324.json,Elements,None,None,1
Basic-Wall-Wärmedämmung_Mineralwolle_130-1839774.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
HEB-Stütze-mit-Kammerbeton-STZ_HEB-KAM_STA_650-x-300-2816822.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Blechabdeckung-Brüstung-Blechabdeckung-Brüstung-7933804.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Floor-BBA_HBE_50-BG1-7590425.json,Elements,Beton,Beton,1
Basic-Wall-WAT_ASW_STB_250-5585349.json,Elements,Beton,Beton,1
PV-Anlage_Bauder-ELE_PVA-12550613.json,Elements,None,None,1
1OG-I-1-1.json,Elements,Mauersteine,Mauersteine,1
Floor-BBA_ASP_50-9567604.json,Elements,Bodenbeläge,Bodenbeläge,1
Basic-Wall-FAS_ASW_DÄ_30-12313333.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
1OG-Tür-1-1.json,Elements,Türen,Türen,1
1OG-Fenster-1-1.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Systemelement-Profilglas-15----mittig-21414704.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Holz-Träger---rechteckig-Alu-Eurotec-40-x-60-7547868.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-WAN_ASW_MW_225-7610934.json,Elements,Mauersteine,"Mineralische Platten, Schüttungen, Steine und Ziegel",0
Assembled-Stair-Stair-11892954-Landing-1.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Parkplatz---01-90-PAR_2400-x-5000-10260983.json,Elements,"Anstrichstoffe, Beschichtungen","Anstrichstoffe, Beschichtungen",1
Dämmung2-Dämmung-21751352.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
TU-DF-1---Rahmenstock-flächenbündig-TUI_ZAR_STA_MÖ---1100-x-2200_EI-30-10129091.json,Elements,Türen,Türen,1
Rechteckiger-Pfosten-VF_PFT-T_M_60-x-125-11226193.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Fenster-Pfosten-Brett-VF_PFT_MET_50-x-290-x-2600-9774242.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Attikablech-Galerie-Südost-Attikablech-Galerie-Südost-6350725.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Attikabrett-Attikabrett-6718052.json,Elements,Holz und Holzwerkstoffe,None,0
Atikkabrett-Atikkabrett-6717985.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Fassade---FE-1-flg-FEN_STA_50-x-60-Kippelement-8879976.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Stair-Concrete-716803-1.json,Elements,Beton,Beton,1
Floor-Bodenaufbau-Hauptgeschoss-687594.json,Elements,None,Bodenbeläge,0
Floor-Floor_Holz_40mm-21756579.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Plate--face-based--Plate--face-based--1696783.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Basic-Wall-Innenwandelement-Archisonic-ohne-MDF-3995377.json,Elements,Kunststoffe,Kunststoffe,1
Basic-Wall-Technikschnittstelle-6225020.json,Elements,"Mineralische Platten, Schüttungen, Steine und Ziegel","Mineralische Platten, Schüttungen, Steine und Ziegel",1
M_Skylight-1180-x-1170mm-1180-x-1170mm-185337.json,Elements,"Fenster, Sonnenschutz, Fassadenplatten","Fenster, Sonnenschutz, Fassadenplatten",1
Floor-AHD_DÄ_90-13984336.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
UnnamedElement.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Storen_ZIP-SOS_STO_275x395-14112561.json,Elements,Metallbaustoffe,"Fenster, Sonnenschutz, Fassadenplatten",0
Anfahrschutz-Rohr-2350-x-400-13363728.json,Elements,Metallbaustoffe,Rohre,0
Basic-Wall-WAT_KWA_STB_785-7556581.json,Elements,Beton,Beton,1
Pfosten-rechteckig-Forster-60-x-90---Nur-Pfosten-2355404.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Vierkantstahl-Stütze-140-x-80-12651870.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Systemelement-Dämmelement-1123941.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Railing-GEL_STA_40x40-3STK-handlauf-unterbrochen-8881489.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Holz-Träger---rechteckig-Holz-60-x-200-6746028.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
STB-Stütze---rechteckig-STB-500-x-500-2623790.json,Elements,Beton,Beton,1
2OG-Balkon-1-1.json,Elements,Beton,Beton,1
Basic-Wall-WAN_ASW_MW_100-8756190.json,Elements,Mauersteine,Mauersteine,1
Dachdämmung_V3-Dachdämmung_V3-5659319.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-Gitterrost-schwarz-354156.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Floor-BBA_ASP_120-11419651.json,Elements,Bodenbeläge,Bodenbeläge,1
Fertigteil-TT-Platte---Entrée-TRA_RIP_STB_2700-x-480_Entrée_4-13843837.json,Elements,Beton,Beton,1
Rechteckiger-Pfosten-VF_PFT-T_L_60-x-200-8880687.json,Elements,Metallbaustoffe,Metallbaustoffe,1
Precast-Stair-Stair-3039290-Run-1.json,Elements,Beton,Beton,1
Floor-DCH_SUB_100-14297034.json,Elements,None,"Dichtungsbahnen, Schutzfolien",0
EG-A-1-1.json,Elements,Beton,Beton,1
Floor-OSB-22mm-4937655.json,Elements,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-Perimeterdämmung-4784219.json,Elements,Wärmedämmstoffe,Wärmedämmstoffe,1
Basic-Wall-Holzbau_Archisonic_Vorbauschale-2146702_L1.json,Target_Layers,Kunststoffe,Holz und Holzwerkstoffe,0
Basic-Wall-WAN_ASW_DÄ-BET_300-5102504_L1.json,Target_Layers,Beton,Beton,1
Floor-DCH_BLECH_53-13862065_L3.json,Target_Layers,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-Finish-Floor---Wood-169093_L1.json,Target_Layers,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-BBA_BE-DÄ_120-Schmutzstreifen-12439757_L1.json,Target_Layers,Bodenbeläge,Bodenbeläge,1
Floor-Finish-Floor---Ceramic-Tile-169772_L2.json,Target_Layers,Mörtel und Putze,Mörtel und Putze,1
Floor-DCH_DÄ-AS_250-7601562_L3.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Basic-Wall-Holzfassade-hinterlüftet-1105047_L1.json,Target_Layers,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-FAS_ASW_DÄ-ABD_120-13861927_L3.json,Target_Layers,"Dichtungsbahnen, Schutzfolien","Dichtungsbahnen, Schutzfolien",1
Floor-Residential---Wood-Joist-with-Subflooring-144800_L1.json,Target_Layers,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-BBA_BE-DÄ_100-BG1-7326415_L2.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-DCH_DÄ-BLECH_113-11165689_L4.json,Target_Layers,,Wärmedämmstoffe,0
Floor-Galerie-Fussbodenaufbau-1353081_L4.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-DCH_DÄ-AS_250-7601562_L2.json,Target_Layers,Beton,Beton,1
Floor-Concrete---Existing---50-160-1699978_L1.json,Target_Layers,Beton,Beton,1
Floor-DCH_BLECH_53-13862065_L2.json,Target_Layers,"Dichtungsbahnen, Schutzfolien","Dichtungsbahnen, Schutzfolien",1
Basic-Wall-Isolamin-100-2350191_L2.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Basic-Wall-Blechverkleidung-gedämmt-1829613_L2.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Basic-Wall-WAN_ASW_DÄ-PU_220-5059297_L1.json,Target_Layers,Mörtel und Putze,Mörtel und Putze,1
Floor-AHD_DÄ_150-10969563_L2.json,Target_Layers,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-WAN_TWÄ_GK_100_VS-4246877_L1.json,Target_Layers,"Mineralische Platten, Schüttungen, Steine und Ziegel","Mineralische Platten, Schüttungen, Steine und Ziegel",1
Floor-Dämmung-Galerie-1708478_L2.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Basic-Wall-Interior---Plumbing--152mm-Stud--144138_L2.json,Target_Layers,Metallbaustoffe,Metallbaustoffe,1
Floor-Galerie-Fussbodenaufbau-1353081_L3.json,Target_Layers,"Mineralische Platten, Schüttungen, Steine und Ziegel","Mineralische Platten, Schüttungen, Steine und Ziegel",1
Floor-Galerie-Fussbodenaufbau-1353081_L2.json,Target_Layers,"Mineralische Platten, Schüttungen, Steine und Ziegel","Mineralische Platten, Schüttungen, Steine und Ziegel",1
Floor-Bodenaufbau-12-beton---5-aufbau-2462797_L1.json,Target_Layers,Bodenbeläge,Beton,0
Basic-Wall-Exterior---Brick-on-Block-138062_L3.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-Funicular-Floor-687636_L1.json,Target_Layers,Mörtel und Putze,Mörtel und Putze,1
Basic-Roof-Bef-TRP70-1206363_L1.json,Target_Layers,Metallbaustoffe,Metallbaustoffe,1
Floor-Galerie-Fussbodenaufbau-1353081_L1.json,Target_Layers,Bodenbeläge,Bodenbeläge,1
Floor-Bodenaufbau-12-beton---5-aufbau-2462797_L2.json,Target_Layers,Beton,Beton,1
Basic-Wall-WAN_TWÄ_MW-VS_300---EI60-11586674_L4.json,Target_Layers,Mauersteine,Mauersteine,1
Floor-Funicular-Floor-687636_L2.json,Target_Layers,Beton,Beton,1
Basic-Roof-Bef-TRP70-1206363_L2.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Basic-Wall-WAN_TWÄ_GK_100---EI30-4246887_L1.json,Target_Layers,"Mineralische Platten, Schüttungen, Steine und Ziegel","Mineralische Platten, Schüttungen, Steine und Ziegel",1
Basic-Wall-Exterior---Brick-on-Block-138062_L1.json,Target_Layers,Mauersteine,Mauersteine,1
Basic-Wall-WAN_ASW_DÄ-PU_300-5370817_L1.json,Target_Layers,Mörtel und Putze,Mörtel und Putze,1
Basic-Wall-Party-Wall---CMU-Residential-Unit-Dimising-Wall-139234_L3.json,Target_Layers,Mauersteine,Mauersteine,1
Basic-Wall-FAS_ASW_DÄ-ABD_120-13861927_L1.json,Target_Layers,"Dichtungsbahnen, Schutzfolien","Dichtungsbahnen, Schutzfolien",1
Basic-Wall-Exterior---Brick-on-Block-138062_L6.json,Target_Layers,"Mineralische Platten, Schüttungen, Steine und Ziegel",Mörtel und Putze,0
Floor-DCH_DÄ-AS_250-7601562_L1.json,Target_Layers,Bodenbeläge,Bodenbeläge,1
Floor-BBA_BE-DÄ_120-Schmutzstreifen-12439757_L3.json,Target_Layers,Wärmedämmstoffe,Bodenbeläge,0
Floor-DCH_BLECH_53-13862065_L1.json,Target_Layers,Metallbaustoffe,Metallbaustoffe,1
Floor-BBA_BE-DÄ_100-BG1-7326415_L1.json,Target_Layers,Beton,Beton,1
Basic-Wall-Party-Wall---CMU-Residential-Unit-Dimising-Wall-139234_L4.json,Target_Layers,None,Mauersteine,0
Floor-Residential---Wood-Joist-with-Subflooring-144800_L2.json,Target_Layers,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Basic-Wall-FAS_ASW_DÄ-VHF_180-13656021_L1.json,Target_Layers,Mörtel und Putze,Mörtel und Putze,1
Basic-Wall-Holzbau_Archisonic_Vorbauschale-2146702_L2.json,Target_Layers,Holz und Holzwerkstoffe,Holz und Holzwerkstoffe,1
Floor-Finish-Floor---Wood-169093_L2.json,Target_Layers,Wärmedämmstoffe,Wärmedämmstoffe,1
Floor-Finish-Floor---Ceramic-Tile-169772_L1.json,Target_Layers,"Mineralische Platten, Schüttungen, Steine und Ziegel",Bodenbeläge,0
Basic-Wall-Holzfassade-hinterlüftet-1105047_L2.json,Target_Layers,None,Holz und Holzwerkstoffe,0
Basic-Wall-WAN_TWÄ_MW-VS_300---EI60-11586674_L3.json,Target_Layers,None,Mauersteine,0
Basic-Wall-FAS_ASW_DÄ-PU_325-11226723_L1.json,Target_Layers,Mörtel und Putze,Mörtel und Putze,1
